"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"06.03.2025","80,1","75,2","80,2","73,4","19,20%"
"05.03.2025","67,2","78,5","78,5","62,2","-14,29%"
"04.03.2025","78,4","76,4","80,9","76,4","-1,13%"
"03.03.2025","79,3","82,3","82,3","75,5","-4,57%"
"28.02.2025","83,1","81,6","81,6","77,2","1,96%"
"27.02.2025","81,5","76,8","80,5","75,1","5,43%"
"26.02.2025","77,3","79,2","79,2","74,9","-2,15%"
"25.02.2025","79,0","78,5","79,7","75,3","-0,50%"
"24.02.2025","79,4","78,2","81,2","77,6","-0,87%"
"21.02.2025","80,1","79,1","82,3","77,7","2,17%"
"20.02.2025","78,4","81,9","82,5","77,0","-3,57%"
"19.02.2025","81,3","75,2","81,5","69,2","8,11%"
"18.02.2025","75,2","81,2","81,2","77,2","-6,35%"
"17.02.2025","80,3","79,1","82,7","76,5","1,52%"
"14.02.2025","79,1","80,5","83,0","78,9","-1,74%"
"13.02.2025","80,5","79,0","80,9","78,2","1,77%"
"12.02.2025","79,1","81,0","83,0","78,4","-2,35%"
"11.02.2025","81,0","80,0","83,5","78,6","1,12%"
"10.02.2025","80,1","80,7","83,0","78,5","-0,74%"
"07.02.2025","80,7","78,6","81,1","76,2","2,54%"
