"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"31.12.2018","405,2","405,4","405,4","404,2","-0,05%"
"28.12.2018","405,4","403,5","415,5","402,5","-2,15%"
"27.12.2018","414,3","408,0","417,9","407,1","1,67%"
"26.12.2018","407,5","407,8","407,9","407,5","-0,07%"
"25.12.2018","407,8","407,8","407,9","407,5","1,04%"
"24.12.2018","403,6","405,5","405,5","403,0","-0,52%"
"21.12.2018","405,7","400,8","407,7","399,4","0,43%"
"20.12.2018","404,0","403,6","407,0","402,7","0,66%"
"19.12.2018","401,3","409,6","409,7","399,5","-2,15%"
"18.12.2018","410,1","404,4","410,7","404,0","1,41%"
"17.12.2018","404,4","393,5","403,3","393,0","2,30%"
"14.12.2018","395,3","390,6","395,8","390,6","1,00%"
"13.12.2018","391,4","393,5","395,1","389,7","-0,99%"
"12.12.2018","395,3","398,7","401,4","394,8","-0,93%"
"11.12.2018","399,0","394,3","398,0","393,3","1,01%"
"10.12.2018","395,0","393,0","397,6","392,3","0,10%"
"07.12.2018","394,6","385,3","399,2","384,0","-1,15%"
"06.12.2018","399,2","387,3","400,9","386,4","3,93%"
"05.12.2018","384,1","390,9","395,4","383,9","-2,71%"
"04.12.2018","394,8","383,4","394,1","383,4","1,60%"
"03.12.2018","388,6","387,5","390,2","382,3","-1,07%"
"01.12.2018","392,8","392,8","392,8","392,8","0,23%"
"30.11.2018","391,9","391,7","392,8","387,6","0,18%"
"29.11.2018","391,2","397,1","399,0","388,8","-1,50%"
"28.11.2018","397,1","399,8","401,3","395,7","-0,09%"
"27.11.2018","397,5","399,4","402,0","395,9","-0,50%"
"26.11.2018","399,5","414,0","417,5","396,1","-4,40%"
"23.11.2018","417,9","416,1","419,0","411,3","0,36%"
"22.11.2018","416,4","424,0","426,3","416,1","-1,77%"
"21.11.2018","423,9","425,2","427,7","421,6","-1,00%"
"20.11.2018","428,2","413,0","426,1","411,3","3,66%"
"19.11.2018","413,1","415,8","415,9","409,6","-0,55%"
"16.11.2018","415,4","414,3","416,9","412,2","0,48%"
"15.11.2018","413,4","400,8","418,7","399,4","0,92%"
"14.11.2018","409,6","402,6","411,0","402,4","2,08%"
"13.11.2018","401,3","397,9","401,6","396,4","0,98%"
"12.11.2018","397,4","393,7","398,0","392,9","0,48%"
"11.11.2018","395,5","395,5","395,5","395,5","0,53%"
"09.11.2018","393,4","385,5","392,0","382,9","2,13%"
"08.11.2018","385,2","387,3","387,8","378,7","1,32%"
"07.11.2018","380,2","387,3","387,8","378,7","-1,91%"
"06.11.2018","387,6","381,6","388,4","379,7","1,25%"
"05.11.2018","382,8","379,5","383,8","379,5","0,13%"
"02.11.2018","382,3","380,8","382,1","373,5","0,31%"
"01.11.2018","381,1","383,6","383,6","378,5","-0,24%"
"31.10.2018","382,0","383,1","383,8","379,2","-0,44%"
"30.10.2018","383,7","378,9","384,8","374,2","1,13%"
"29.10.2018","379,4","387,2","389,8","374,8","-2,49%"
"26.10.2018","389,1","387,4","390,7","374,2","1,63%"
"25.10.2018","382,9","389,7","389,7","377,9","-1,05%"
"24.10.2018","386,9","382,0","386,4","381,4","0,47%"
"23.10.2018","385,1","384,4","386,6","380,1","0,00%"
"22.10.2018","385,1","384,1","386,3","370,6","-0,76%"
"20.10.2018","388,0","388,0","388,0","388,0","0,23%"
"19.10.2018","387,1","401,6","408,9","387,1","-3,87%"
"18.10.2018","402,8","384,5","402,8","382,5","5,07%"
